language:code
english:en
arabic:ar
bengali:bn
czech:cs
danish:da
german:de
greek:el
spanish:es
persian:fa
finnish:fi
filipino:fil
french:fr
hebrew:he
hindi:hi
hungarian:hu
indonesian:id
italian:it
japanese:ja
korean:ko
malay:msa
dutch:nl
norwegian:no
polish:pl
portuguese:pt
romanian:ro
russian:ru
swedish:sv
thai:th
turkish:tr
ukrainian:uk
urdu:ur
vietnamese:vi
chinese:zh-cn
chinese:zh-tw
